code	profile_spec_name	required_vi
44.03.05	педагогическое образование (с двумя профилями подготовки). дошкольное образование и дополнительное образование	русский язык;основы профессиональной коммуникации;педагогика и детская психология
44.03.05	педагогическое образование (с двумя профилями подготовки). история и обществознание	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.05	педагогическое образование (с двумя профилями подготовки). начальное образование и организация воспитательной работы	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.05	педагогическое образование (с двумя профилями подготовки). английский язык и китайский язык	русский язык;основы педагогики и психологии;иностранный язык в профессиональной коммуникации (английский)
44.03.05	педагогическое образование (с двумя профилями подготовки). русский язык и литература	русский язык;основы педагогики и психологии;основы профессиональной коммуникации
44.03.05	педагогическое образование (с двумя профилями подготовки). дополнительное образование. изо и декоративно-прикладное искусство	русский язык;основы педагогики и психологии;композиция
45.03.01	филология. профиль образовательной программы «филологическое обеспечение профессиональных коммуникаций»	русский язык;основы профессиональной коммуникации;сочинение
46.03.02	документоведение и архивоведение. профиль образовательной программы «документоведение и документационное обеспечение управления»	русский язык;документационное обеспечение управления;основы профессиональной коммуникации
49.03.01	физическая культура. профиль образовательной программы «спортивный менеджмент и судейство спортивных соревнований»	русский язык;человек. анатомия. зож;судейство по видам спорта
54.03.01	дизайн. профиль образовательной программы «графический дизайн»	русский язык;история изобразительного искусства;рисунок
10.05.03	информационная безопасность автоматизированных систем. профиль образовательной программы «разработка автоматизированных систем в защищенном исполнении»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
21.05.04	горное дело. профиль образовательной программы «маркшейдерское дело»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
21.05.04	горное дело. профиль образовательной программы «обогащение полезных ископаемых»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
21.05.04	горное дело. профиль образовательной программы «подземная разработка рудных месторождений»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
21.05.04	горное дело. профиль образовательной программы «открытые горные работы»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
21.05.04	горное дело. профиль образовательной программы «горные машины и оборудование»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
23.05.04	эксплуатация железных дорог. профиль образовательной программы «промышленный транспорт»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
45.05.01	перевод и переводоведение. профиль образовательной программы «английский язык и немецкий язык»	русский язык;иностранный язык в профессиональной коммуникации (английский);основы профессиональной коммуникации
